ccn,provider_name,city,zip_code,county,ownership_type,certified_beds,overall_rating,health_inspection_rating,qm_rating,staffing_rating,aide_hours,rn_hours,total_nursing_hours,staff_turnover,total_fines,total_penalties,latitude,longitude
505327,AVAMERE OLYMPIC REHABILITATION OF SEQUIM,SEQUIM,98382,Clallam,For profit - Corporation,90,1,1,4,4,2.72566,1.13912,4.59828,42.7,95195,2,48.0724,-123.11
505329,BUENA VISTA HEALTHCARE,COLVILLE,99114,Stevens,For profit - Limited Liability company,40,4,4,4,4,2.7557,0.66729,4.25969,44.9,13104,1,48.5614,-117.92
505331,BROOKFIELD HEALTH AND REHAB OF CASCADIA,BATTLE GROUND,98604,Clark,For profit - Limited Liability company,83,3,3,4,3,1.85175,0.99235,3.48311,70.9,15935,1,45.785,-122.54
505334,LIFE CARE CENTER OF KIRKLAND,KIRKLAND,98034,King,For profit - Limited Liability company,190,2,2,4,4,2.37473,1.05776,4.17148,45.1,61610,2,47.7076,-122.21
505338,Snohomish Health and Rehabilitation of Cascadia,SNOHOMISH,98290,Snohomish,For profit - Limited Liability company,91,3,2,5,3,2.34056,0.93608,3.93944,57,175676,3,47.9241,-122.09
505339,NORTH BEND POST ACUTE,NORTH BEND,98045,King,For profit - Limited Liability company,64,1,1,4,1,2.08123,0.23984,3.37285,50,206072,3,47.4936,-121.79
505341,BRIDGE CREST POST ACUTE,VANCOUVER,98663,Clark,For profit - Limited Liability company,89,2,2,3,4,2.39036,0.74916,4.16567,58,220932,5,45.6598,-122.67
505344,Canterbury House,AUBURN,98002,King,For profit - Limited Liability company,100,2,2,4,4,2.2274,0.79523,3.92697,41,68159,1,47.2828,-122.22
505346,CHENEY CARE CENTER,CHENEY,99004,Spokane,Non profit - Other,54,3,3,3,3,3.18508,0.51683,4.71294,37.5,0,0,47.501,-117.58
505347,THE OAKS AT LAKEWOOD,TACOMA,98499,Pierce,For profit - Limited Liability company,80,5,5,5,3,2.43533,0.55465,4.04794,38,0,0,47.1536,-122.5
505348,GOOD SAMARITAN HEALTH CARE CTR,YAKIMA,98902,Yakima,For profit - Individual,105,5,5,4,4,2.76295,0.64683,4.34315,29.2,0,0,46.6094,-120.53
505349,WILLAPA HARBOR CARE,RAYMOND,98577,Pacific,For profit - Limited Liability company,60,4,4,4,2,2.27069,0.64429,3.47699,44.7,0,0,46.676,-123.75
505350,REGENCY CARE CENTER AT MONROE,MONROE,98272,Snohomish,For profit - Limited Liability company,92,5,4,4,5,2.41325,1.07815,3.99958,35,0,0,47.8508,-121.99
505351,ARLINGTON HEALTH AND REHABILITATION,ARLINGTON,98223,Snohomish,For profit - Limited Liability company,76,4,3,5,3,2.57938,0.71272,4.43307,31.7,200328,2,48.1869,-122.13
505355,AUBURN POST ACUTE,AUBURN,98002,King,For profit - Limited Liability company,96,1,1,3,4,2.18818,0.84136,3.39937,38,314229,5,47.2936,-122.22
505361,Americana Health and Rehabilitation,LONGVIEW,98632,Cowlitz,For profit - Corporation,74,4,4,2,4,2.61603,0.81659,4.30054,32.1,0,0,46.129,-122.93
505362,VIEW RIDGE CARE CENTER,EVERETT,98203,Snohomish,For profit - Limited Liability company,70,4,3,5,3,2.81899,0.83247,4.64385,39.3,0,0,47.9501,-122.23
505367,WILLOW SPRINGS CARE AND REHABILITATION,YAKIMA,98908,Yakima,For profit - Corporation,75,5,5,3,2,2.48457,0.99653,4.0152,59.4,21442,1,46.593,-120.61
505369,REGENCY AT NORTHPOINTE,SPOKANE,99218,Spokane,For profit - Corporation,120,5,4,5,4,2.88974,1.02391,4.77755,46.7,8278,1,47.7457,-117.39
505372,REGENCY CANYON LAKES REHAB AND NURSING CENTER,KENNEWICK,99337,Benton,For profit - Corporation,53,5,5,4,5,2.78847,1.40055,4.81283,32.8,18220,2,46.1828,-119.16
505373,SOUTH CREEK POST ACUTE,CENTRALIA,98531,Lewis,For profit - Limited Liability company,128,4,3,5,3,2.49746,0.59809,4.11137,55.9,12735,1,46.7122,-122.99
505376,MT BAKER CARE CENTER,BELLINGHAM,98225,Whatcom,For profit - Limited Liability company,70,5,5,5,5,3.22952,1.20065,5.27878,44.6,0,0,48.7128,-122.48
505379,Royal Park Health and Rehabilitation,SPOKANE,99208,Spokane,For profit - Limited Liability company,164,1,1,4,3,2.35954,0.67305,3.81401,56.7,119640,4,47.7243,-117.4
505382,REGENCY WENATCHEE REHABILIATION & NURSING CENTER,WENATCHEE,98801,Chelan,For profit - Limited Liability company,55,5,5,3,4,2.57518,1.59519,4.28844,47.5,10358,1,47.408,-120.33
505383,SULLIVAN PARK CARE CENTER,SPOKANE,99216,Spokane,For profit - Corporation,125,3,2,5,2,2.21018,0.50068,3.73269,53.9,126188,2,47.6534,-117.21
505386,MARYSVILLE CARE CENTER,MARYSVILLE,98270,Snohomish,For profit - Limited Liability company,97,4,3,5,3,2.39748,1.29743,4.25598,45.9,101691,2,48.0612,-122.17
505387,WOODARD CREEK HEALTH & REHABILITATION,OLYMPIA,98506,Thurston,For profit - Limited Liability company,152,2,1,5,1,2.2103,0.63661,3.58835,81.3,12735,1,47.051,-122.84
505389,AVAMERE REHABILITATION OF CASCADE PARK,VANCOUVER,98683,Clark,For profit - Corporation,88,5,4,3,5,2.58538,1.04034,4.67357,31.7,0,0,45.6153,-122.52
505390,MCKAY HEALTHCARE & REHAB CTR,SOAP LAKE,98851,Grant,Government - Hospital district,42,4,4,3,3,2.68135,0.75624,4.22587,68.3,113505,1,47.3872,-119.49
505393,North Cascades Health and Rehabilitation,BELLINGHAM,98226,Whatcom,For profit - Corporation,122,2,1,5,4,2.04021,0.941,3.54106,37.6,338413,6,48.8118,-122.5
505395,STAFHOLT HEALTH AND REHABILITATION OF CASCADIA,BLAINE,98230,Whatcom,For profit - Limited Liability company,57,5,4,5,4,1.91521,1.30346,3.71713,52.5,47182,3,48.9992,-122.75
505400,Enumclaw Health and Rehabilitation,ENUMCLAW,98022,King,For profit - Limited Liability company,92,2,2,2,3,2.2907,0.64166,3.72964,64.6,8018,1,47.2096,-121.99
505401,Parkside Care,UNION GAP,98903,Yakima,For profit - Limited Liability company,88,1,1,2,2,2.55303,0.92927,4.36889,NA,132645,3,46.5529,-120.48
505403,BETHANY AT SILVER LAKE,EVERETT,98208,Snohomish,Non profit - Church related,151,5,4,5,3,2.52208,0.77418,4.16927,42.1,121447,2,47.8903,-122.2
505404,Bethany At Pacific,EVERETT,98201,Snohomish,Non profit - Church related,80,4,3,5,4,2.82878,1.24877,4.95006,37.3,42477,1,47.9886,-122.2
505406,CHRISTIAN HEALTH CARE CENTER,LYNDEN,98264,Whatcom,Non profit - Corporation,122,5,4,5,4,2.80532,1.2968,4.79522,39.8,33970,1,48.9625,-122.44
505407,MOUNTAIN VIEW REHABILITATION AND CARE CENTER,MARYSVILLE,98270,Snohomish,For profit - Corporation,82,4,4,3,4,2.12278,0.90951,3.81075,34.5,0,0,48.05,-122.17
505409,SUMMITVIEW REHAB AND HEALTH CENTER,YAKIMA,98902,Yakima,Non profit - Corporation,78,5,4,5,4,3.22728,1.10893,5.22666,32,178331,2,46.5999,-120.56
505411,SUNSHINE HEALTH & REHAB,SPOKANE,99206,Spokane,For profit - Individual,37,4,3,5,4,2.77722,1.52105,5.02475,NA,0,0,47.6488,-117.27
505412,COLVILLE TRIBAL CONVALESCENT C,NESPELEM,99155,Okanogan,Government - Federal,44,4,4,3,4,3.2511,0.86857,4.72895,51.2,8173,1,48.1291,-118.97
505413,COLONIAL VISTA POST-ACUTE & REHAB CENTER,WENATCHEE,98801,Chelan,For profit - Corporation,100,4,4,3,4,2.28776,1.05366,3.82645,36,0,1,47.4147,-120.31
505414,SOUTH HILL REHABILITATION AND CARE CENTER,SPOKANE,99202,Spokane,For profit - Limited Liability company,113,5,4,5,3,2.47898,0.74933,4.42452,63.1,0,0,47.6481,-117.41
505416,THE BROADVIEW CENTER,SEATTLE,98133,King,For profit - Limited Liability company,211,2,1,5,3,2.22363,0.70008,3.71702,48.5,17252,1,47.7238,-122.36
505417,CASCADES OF ST ANNE,SEATTLE,98125,King,For profit - Corporation,47,3,2,5,2,2.45843,1.25711,4.04359,65,0,2,47.7084,-122.29
505418,MARIANWOOD HEALTH AND REHABILITATION,ISSAQUAH,98029,King,For profit - Limited Liability company,117,3,3,4,2,2.30609,0.91319,3.81555,73.2,64574,2,47.5749,-122.04
505421,WASHINGTON ODD FELLOWS HOME,WALLA WALLA,99362,Walla Walla,Non profit - Corporation,53,4,3,5,2,2.94095,0.81476,4.3862,63.1,67616,1,46.0706,-118.33
505429,SHARON CARE CENTER,CENTRALIA,98531,Lewis,For profit - Partnership,42,4,4,4,4,4.55468,1.3239,7.482,98.2,0,0,46.7336,-122.99
505430,REGENCY HARMONY HOUSE REHAB & NURSING,BREWSTER,98812,Okanogan,For profit - Limited Liability company,54,5,5,2,4,2.621,0.97169,3.90182,28.9,0,0,48.1082,-119.78
505431,BOTHELL HEALTH CARE,BOTHELL,98021,Snohomish,For profit - Individual,99,3,2,5,4,2.7934,1.34264,4.89525,41.1,53148,2,47.7914,-122.24
505434,LYNNWOOD POST ACUTE REHABILITATION CENTER,LYNNWOOD,98037,Snohomish,For profit - Corporation,67,4,3,5,3,2.18177,0.75053,3.6955,46.8,0,0,47.8284,-122.31
505435,ELISEO,TACOMA,98406,Pierce,Non profit - Corporation,187,3,2,5,3,2.87356,0.69286,4.52457,43.4,0,0,47.2621,-122.52
505436,GIG HARBOR HEALTH AND REHABILITATION,GIG HARBOR,98335,Pierce,For profit - Limited Liability company,120,2,1,5,3,2.15976,0.54918,3.71067,69.8,134478,4,47.2998,-122.58
505441,NORTH CENTRAL CARE CENTER,SPOKANE,99205,Spokane,For profit - Corporation,99,4,3,5,4,2.40809,0.77628,3.83337,46.8,0,0,47.6955,-117.44
505442,CAROLINE KLINE GALLAND HOME,SEATTLE,98118,King,Non profit - Corporation,205,3,3,5,1,NA,NA,NA,NA,0,0,47.5353,-122.27
505453,KIN ON HEALTH CARE CENTER,SEATTLE,98118,King,Non profit - Corporation,100,2,2,4,4,2.54568,1.20917,4.36931,37.3,25493,3,47.5534,-122.28
505454,NORTH VALLEY HOSPITAL,TONASKET,98855,Okanogan,Government - Hospital district,42,5,5,2,5,2.92836,1.32306,4.6097,34.5,0,0,48.7067,-119.44
505455,JUDSON PARK HEALTH CENTER,DES MOINES,98198,King,Non profit - Corporation,96,5,3,5,5,2.85792,1.13491,4.79436,18.8,0,0,47.3895,-122.32
505463,MADISON POST ACUTE,EVERETT,98203,Snohomish,For profit - Partnership,59,3,3,4,4,2.39098,0.72656,4.03895,28,71318,1,47.9361,-122.2
505465,JOSEPHINE CARING COMMUNITY,STANWOOD,98292,Snohomish,Non profit - Church related,160,5,4,5,3,2.89898,0.80469,4.60954,21.9,0,0,48.2436,-122.37
505469,THE TERRACES AT SKYLINE,SEATTLE,98104,King,Non profit - Corporation,34,1,2,4,1,NA,NA,NA,NA,0,0,47.6064,-122.33
505470,COLUMBIA LUTHERAN HOME,SEATTLE,98103,King,Non profit - Corporation,116,4,3,5,4,3.51035,1.05792,5.20245,41.7,0,0,47.6629,-122.35
505473,AGILITY HEALTH AND REHABILITATION,UNIVERSITY PLACE,98467,Pierce,For profit - Corporation,120,3,3,3,3,2.37248,0.5515,3.93539,39.2,0,0,47.207,-122.53
505474,MARTHA AND MARY HEALTH SERVICE,POULSBO,98370,Kitsap,Non profit - Corporation,135,5,4,5,4,2.87488,1.07082,4.69356,34.2,0,0,47.7368,-122.65
505475,WESLEY HOMES DES MOINES HEALTH CENTER,DES MOINES,98198,King,Non profit - Church related,148,5,4,5,3,2.90976,0.93912,4.69929,38.6,0,0,47.4075,-122.32
505476,BAILEY-BOUSHAY HOUSE,SEATTLE,98112,King,Non profit - Corporation,35,3,3,3,NA,NA,NA,NA,NA,0,0,47.6228,-122.3
505478,Corwin Center At Emerald Heights,REDMOND,98052,King,Non profit - Corporation,61,4,3,3,5,3.03407,1.09249,4.84673,35.6,39468,1,47.697,-122.11
505483,Alaska Gardens Health and Rehabilitation,TACOMA,98408,Pierce,For profit - Individual,123,1,1,4,2,2.28721,0.40593,3.86368,54.4,196648,3,47.2004,-122.46
505484,NORTHWOODS LODGE,SILVERDALE,98383,Kitsap,For profit - Limited Liability company,57,5,4,4,5,2.91941,1.30665,5.76981,46.3,51942,1,47.6741,-122.68
505485,LINDEN GROVE HEALTH CARE CENTER,PUYALLUP,98373,Pierce,For profit - Limited Liability company,130,1,1,2,3,2.06177,0.62984,3.8525,54.5,193178,6,47.1931,-122.25
505488,Richmond Beach Rehab,SHORELINE,98177,King,For profit - Limited Liability company,131,4,3,5,3,2.57023,0.60379,4.04518,36.3,44753,1,47.7687,-122.38
505491,EVERETT CENTER,EVERETT,98204,Snohomish,For profit - Partnership,100,4,3,5,2,2.32994,1.16312,4.24982,39.3,378252,3,47.8964,-122.26
505493,PARK SHORE,SEATTLE,98112,King,Non profit - Corporation,28,4,3,5,4,2.59377,1.18559,4.50105,NA,0,0,47.6345,-122.28
505496,AVALON CARE CENTER AT NORTHPOINTE,SPOKANE,99218,Spokane,For profit - Corporation,119,1,1,3,3,2.57823,0.60571,4.38006,67.1,84614,2,47.7477,-117.4
505499,COTTESMORE OF LIFE CARE,GIG HARBOR,98335,Pierce,For profit - Limited Liability company,108,4,3,5,4,2.46367,1.10501,4.33988,47.3,35713,2,47.2845,-122.56
505500,Bellevue Post Acute,BELLEVUE,98007,King,For profit - Limited Liability company,69,3,2,5,2,2.30156,0.92876,3.79575,100,0,0,47.6319,-122.13
505504,COVENANT SHORES HEALTH CENTER,MERCER ISLAND,98040,King,Non profit - Corporation,43,5,4,5,5,2.59085,1.49631,4.27969,49,0,0,47.5813,-122.21
505507,Shelton Health and Rehabilitation,SHELTON,98584,Mason,For profit - Limited Liability company,76,2,2,3,3,2.33612,0.57761,3.89081,59.2,65213,3,47.234,-123.11
505509,Spokane Veterans Home,SPOKANE,99202,Spokane,Government - State,100,5,4,5,5,2.51591,1.49896,4.03904,37.6,0,0,47.6518,-117.41
505510,"Avalon Care Center Federal Way, L.L.C.",FEDERAL WAY,98003,King,For profit - Corporation,120,4,3,5,4,2.45847,0.91322,4.31797,39.8,0,0,47.2999,-122.33
505512,GARDEN TERRACE HEALTHCARE CENTER OF FEDERAL WAY,FEDERAL WAY,98003,King,For profit - Limited Liability company,70,5,3,5,5,3.00678,1.53992,5.5173,29.9,0,0,47.2986,-122.33
505513,PUGET SOUND TRANSITIONAL CARE,DES MOINES,98198,King,For profit - Corporation,165,1,1,4,3,2.2296,0.93212,3.8945,27.1,0,0,47.4009,-122.3
505514,Richland Post Acute,RICHLAND,99354,Benton,For profit - Limited Liability company,71,5,4,5,3,2.60074,1.26577,4.41654,39.3,59762,1,46.2999,-119.28
505515,REGENCY OLYMPIA REHABILITATION AND NURSING CENTER,OLYMPIA,98501,Thurston,For profit - Limited Liability company,28,5,4,5,3,2.84462,0.78508,4.62655,63.6,8278,1,47.0294,-122.88
505516,Washington Soldiers Home,ORTING,98360,Pierce,Government - State,97,4,3,4,5,2.65367,0.76638,4.30342,37.5,10358,1,47.0823,-122.21
